clients_month_attendance
client_id;client_name;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12
C00001;Jonas Larsen;1;0;0;1;0;1;0;1;0;1;0;0
C00002;Erik Andersen;1;1;0;1;0;0;0;0;0;0;0;0
C00003;Jonas Solberg;1;0;1;2;0;0;1;0;0;0;0;0
C00004;Nikos Berg;1;0;1;1;1;1;0;1;0;1;0;1
C00005;Erik Andersen;1;1;1;1;0;1;0;0;0;1;1;0
C00006;Anna Haugen;1;0;1;0;1;0;1;0;0;1;0;1
C00007;Erik Olsen;2;0;2;1;1;2;1;1;2;1;0;1
C00008;Sofia Andersen;2;2;3;2;2;2;2;3;1;3;2;1
C00009;Igor Haugen;1;0;0;0;0;1;1;1;1;0;1;1
C00010;Sofia Johansen;1;0;1;0;0;1;0;1;0;1;0;1
C00011;Elena Hansen;1;0;1;0;1;0;1;1;0;0;1;0
C00012;Ingrid Nilsen;2;2;1;0;0;1;0;1;0;1;0;1
C00013;Lars Hansen;1;1;0;1;0;0;1;1;1;1;0;1
C00014;Ingrid Olsen;1;1;0;2;1;1;0;1;1;1;1;1
C00015;Jonas Larsen;1;0;0;0;0;0;1;0;0;0;0;1
C00016;Lars Olsen;1;0;1;0;0;0;0;0;0;0;0;0
C00017;Elena Olsen;1;0;1;1;1;0;1;1;0;1;0;1
C00018;Jonas Andersen;2;0;2;1;0;1;1;1;0;2;0;1
C00019;Lars Berg;1;1;0;1;1;0;1;1;0;1;1;0
C00020;Igor Larsen;1;1;1;0;1;1;0;1;1;0;1;0
C00021;Lars Johansen;1;1;0;0;0;0;0;0;0;0;0;0
C00022;Ingrid Moen;1;2;1;1;1;1;1;0;0;0;0;1
C00023;Ingrid Andersen;1;0;1;1;0;1;1;1;0;1;0;1
C00024;Igor Larsen;2;2;2;2;1;1;2;1;0;0;0;0
C00025;Jonas Haugen;1;1;1;1;0;0;1;1;0;1;0;0
C00026;Nikos Hansen;1;1;2;3;1;2;2;2;1;2;1;2
C00027;Anna Johansen;1;1;0;1;0;1;1;1;0;1;1;0
C00028;Erik Larsen;1;1;0;1;1;0;1;1;1;0;0;1
C00029;Igor Nilsen;1;1;0;1;1;1;0;1;1;1;0;1
C00030;Sofia Solberg;1;1;0;0;0;0;0;0;0;0;0;0
C00031;Anna Nilsen;1;1;0;1;1;2;0;0;1;0;1;0
C00032;Igor Solberg;1;0;1;0;1;1;0;0;1;0;1;0
C00033;Igor Solberg;1;0;1;0;0;0;0;1;0;0;0;1
C00034;Anna Haugen;2;2;2;3;2;2;2;3;2;3;2;3
C00035;Jonas Moen;1;1;1;1;1;1;1;1;1;1;1;1
C00036;Erik Andersen;1;1;2;2;2;2;3;3;3;1;3;2
C00037;Igor Andersen;1;0;1;0;1;0;0;1;0;1;1;0
C00038;Erik Solberg;1;1;0;1;1;0;0;0;0;0;1;0
C00039;Lars Moen;1;0;1;0;0;0;0;0;0;0;0;0
C00040;Dean Moen;1;1;1;1;1;1;1;1;1;1;1;0
C00041;Jonas Moen;1;1;1;1;0;2;1;0;1;1;1;1
C00042;Erik Hansen;1;1;0;0;0;0;0;0;0;0;0;1
C00043;Erik Haugen;1;0;1;0;0;0;2;0;0;0;1;0
C00044;Nikos Hansen;1;0;0;1;0;1;0;0;0;0;0;0
C00045;Erik Olsen;1;1;1;0;2;0;1;0;1;0;1;0
C00046;Nikos Hansen;1;0;0;1;0;0;0;1;0;0;1;0
C00047;Elena Solberg;1;3;1;2;2;2;2;1;2;1;2;2
C00048;Jonas Solberg;1;1;0;1;1;0;1;0;1;0;1;1
C00049;Lars Berg;1;1;1;0;1;1;1;1;0;1;1;1
C00050;Lars Haugen;1;1;1;1;0;0;1;1;1;1;1;0
C00051;Igor Hansen;1;0;0;0;0;0;0;0;0;0;0;0
C00052;Jonas Berg;1;0;2;0;1;1;1;1;1;0;2;1
C00053;Erik Andersen;2;2;3;2;2;2;2;3;1;3;2;1
C00054;Nikos Haugen;1;1;1;1;1;0;1;1;0;1;0;1
C00055;Sofia Olsen;1;0;0;0;0;0;0;0;0;0;0;0
C00056;Dean Olsen;1;0;0;0;0;0;0;0;0;0;0;0
C00057;Elena Olsen;1;0;1;1;1;0;1;0;1;1;0;1
C00058;Dean Andersen;1;0;0;0;1;0;0;0;1;0;0;1
C00059;Ingrid Berg;1;0;0;0;1;0;0;0;0;0;0;0
C00060;Jonas Moen;1;1;1;0;1;1;1;1;0;1;1;1
C00061;Ingrid Solberg;1;0;2;1;2;2;0;0;1;1;0;0
C00062;Nikos Berg;0;0;0;0;1;0;0;0;1;0;1;0
C00063;Dean Larsen;1;1;1;0;1;1;0;0;0;0;0;0
C00064;Anna Andersen;1;1;2;2;2;2;3;3;3;1;3;2
C00065;Jonas Berg;1;0;1;0;1;0;0;1;0;1;1;0
C00066;Anna Berg;1;0;0;0;0;0;0;0;0;1;0;1
C00067;Nikos Nilsen;1;0;0;0;0;0;0;0;1;0;0;1
C00068;Igor Solberg;1;0;1;0;1;1;0;1;0;1;1;0
C00069;Lars Andersen;1;1;1;0;0;1;0;1;0;2;1;1
